zip_code,refnis,pop_dens,income_1y,income_17y,province,commune,big_5_dist,big_15_dist
6870,84059,50,19681.18,15825.34,Luxembourg,Saint-Hubert,96,75
6880,84009,65,19565.43,15341.46,Luxembourg,Bertrix,119,83
6887,84029,29,19998.23,15681.7,Luxembourg,Herbeumont,130,98
6890,84035,38,21077.12,16521.0,Luxembourg,Libin,102,66
6900,83034,147,20498.3,15843.2,Luxembourg,Marche-en-Famenne,58,46
6920,84075,46,20602.3,15620.2,Luxembourg,Wellin,73,51
6921,84075,46,20602.3,15620.2,Luxembourg,Wellin,73,51
6922,84075,46,20602.3,15620.2,Luxembourg,Wellin,73,51
6924,84075,46,20602.3,15620.2,Luxembourg,Wellin,73,51
6927,84068,44,21138.68,16160.47,Luxembourg,Tellin,81,58
6929,84016,25,18703.45,14854.13,Luxembourg,Daverdisse,79,64
6940,83012,73,20082.64,15546.65,Luxembourg,Durbuy,46,46
6941,83012,73,20082.64,15546.65,Luxembourg,Durbuy,46,46
6950,83040,50,20599.22,16174.84,Luxembourg,Nassogne,87,59
6951,83040,50,20599.22,16174.84,Luxembourg,Nassogne,87,59
6952,83040,50,20599.22,16174.84,Luxembourg,Nassogne,87,59
6953,83040,50,20599.22,16174.84,Luxembourg,Nassogne,87,59
6960,83055,30,21038.72,16508.65,Luxembourg,Manhay,48,48
6970,83049,31,21266.95,16394.41,Luxembourg,Tenneville,84,68
6971,83049,31,21266.95,16394.41,Luxembourg,Tenneville,84,68
6972,83049,31,21266.95,16394.41,Luxembourg,Tenneville,84,68
6980,83031,27,20346.31,15107.13,Luxembourg,La Roche-en-Ardenne,71,66
6982,83031,27,20346.31,15107.13,Luxembourg,La Roche-en-Ardenne,71,66
6983,83031,27,20346.31,15107.13,Luxembourg,La Roche-en-Ardenne,71,66
6984,83031,27,20346.31,15107.13,Luxembourg,La Roche-en-Ardenne,71,66
6986,83031,27,20346.31,15107.13,Luxembourg,La Roche-en-Ardenne,71,66
6987,83044,39,20129.06,15263.99,Luxembourg,Rendeux,62,61
6990,83028,100,19440.2,14948.33,Luxembourg,Hotton,56,55
6997,83013,42,21018.99,15936.07,Luxembourg,Erezée,53,53
7000,53053,653,19054.19,15353.56,Hainaut,Mons,37,0
7010,53053,653,19054.19,15353.56,Hainaut,Mons,37,0
7011,53053,653,19054.19,15353.56,Hainaut,Mons,37,0
7012,53053,653,19054.19,15353.56,Hainaut,Mons,37,0
7020,53053,653,19054.19,15353.56,Hainaut,Mons,37,0
7021,53053,653,19054.19,15353.56,Hainaut,Mons,37,0
7022,53053,653,19054.19,15353.56,Hainaut,Mons,37,0
7024,53053,653,19054.19,15353.56,Hainaut,Mons,37,0
7030,53053,653,19054.19,15353.56,Hainaut,Mons,37,0
7031,53053,653,19054.19,15353.56,Hainaut,Mons,37,0
7032,53053,653,19054.19,15353.56,Hainaut,Mons,37,0
7033,53053,653,19054.19,15353.56,Hainaut,Mons,37,0
7034,53053,653,19054.19,15353.56,Hainaut,Mons,37,0
7040,53084,124,22521.78,17951.65,Hainaut,Quévy,32,12
7041,53084,124,22521.78,17951.65,Hainaut,Quévy,32,12
